Case ID,Activity,Complete Timestamp
1-422877530,Accepted-In Progress,25:19.0
1-422877530,Queued-Awaiting Assignment,23:19.0
1-423484126,Accepted-In Progress,02:16.0
1-423484126,Completed-Closed,56:20.0
1-423648343,Accepted-In Progress,01:08.0
1-423648343,Queued-Awaiting Assignment,14:44.0
1-423648343,Accepted-In Progress,45:45.0
1-423648343,Accepted-Assigned,47:40.0
1-423648343,Accepted-In Progress,51:02.0
1-423648343,Completed-Closed,51:12.0
1-423724447,Accepted-In Progress,46:46.0
1-423724447,Completed-Closed,16:01.0
1-423751353,Accepted-Assigned,50:21.0
1-423751353,Accepted-In Progress,47:45.0
1-423751353,Accepted-In Progress,24:08.0
1-423751353,Accepted-In Progress,29:37.0
1-423751353,Completed-Closed,26:48.0
1-423751353,Accepted-Assigned,10:56.0
1-423751353,Accepted-In Progress,10:47.0
1-423751353,Accepted-In Progress,48:03.0
1-423751353,Accepted-Assigned,21:40.0
1-423751353,Accepted-In Progress,46:29.0
1-423751353,Queued-Awaiting Assignment,49:48.0
1-423751353,Accepted-Assigned,04:58.0
1-423751353,Accepted-Assigned,42:34.0
1-423751353,Queued-Awaiting Assignment,01:38.0
1-423751353,Accepted-In Progress,04:51.0
1-423751353,Queued-Awaiting Assignment,26:27.0
1-423751353,Accepted-In Progress,00:15.0
1-423751353,Accepted-In Progress,31:32.0
1-423751353,Accepted-Assigned,26:46.0
1-423751353,Queued-Awaiting Assignment,45:59.0
1-423751353,Queued-Awaiting Assignment,34:29.0
1-423751353,Accepted-In Progress,38:49.0
1-424022692,Accepted-In Progress,09:52.0
1-424022692,Accepted-Assigned,05:55.0
1-424022692,Completed-Closed,10:35.0
1-424022692,Accepted-In Progress,53:36.0
1-424022692,Queued-Awaiting Assignment,03:30.0
1-424022692,Accepted-In Progress,58:54.0
1-424065923,Accepted-In Progress,31:24.0
1-424065923,Queued-Awaiting Assignment,34:52.0
1-424065923,Accepted-In Progress,45:05.0
1-424065923,Accepted-Assigned,45:12.0
1-424065923,Accepted-In Progress,27:30.0
1-424065923,Completed-Closed,41:46.0
1-424243405,Accepted-In Progress,34:35.0
1-424243405,Accepted-Wait,24:58.0
1-424243405,Completed-Closed,05:03.0
1-424668301,Accepted-In Progress,40:33.0
1-424668301,Accepted-Assigned,19:49.0
1-424668301,Completed-Closed,55:15.0
1-424668301,Accepted-In Progress,17:37.0
1-424668301,Queued-Awaiting Assignment,11:36.0
1-424668301,Accepted-In Progress,08:13.0
1-426876102,Accepted-In Progress,08:38.0
1-426876102,Queued-Awaiting Assignment,14:56.0
1-426876102,Accepted-In Progress,43:00.0
1-426876102,Accepted-Assigned,45:20.0
1-426876102,Accepted-In Progress,03:34.0
1-426876102,Completed-Closed,04:09.0
1-426969419,Completed-Closed,57:04.0
1-426969419,Accepted-Assigned,42:46.0
1-426969419,Accepted-In Progress,55:32.0
1-426969419,Queued-Awaiting Assignment,37:26.0
1-426969419,Accepted-In Progress,29:18.0
1-426969419,Accepted-In Progress,40:54.0
1-427498853,Accepted-In Progress,34:32.0
1-427498853,Queued-Awaiting Assignment,45:25.0
1-427498853,Accepted-In Progress,26:54.0
1-427498853,Accepted-Assigned,26:59.0
1-427498853,Accepted-Assigned,47:32.0
1-427498853,Accepted-In Progress,47:33.0
1-427498853,Completed-Closed,50:23.0
1-427614010,Accepted-In Progress,10:24.0
1-427614010,Completed-Closed,29:13.0
1-427955007,Accepted-Wait,46:03.0
1-427955007,Accepted-In Progress,48:18.0
1-427955007,Completed-Closed,47:59.0
1-427955007,Accepted-In Progress,24:36.0
1-427955007,Accepted-Wait,59:26.0
1-428252132,Accepted-In Progress,23:06.0
1-428252132,Queued-Awaiting Assignment,58:04.0
1-428252132,Accepted-In Progress,18:39.0
1-428252132,Accepted-Wait,19:27.0
1-428252132,Completed-Closed,02:04.0
1-428421057,Accepted-In Progress,03:20.0
1-428421057,Accepted-Assigned,12:29.0
1-428421057,Completed-Closed,06:11.0
1-428421057,Queued-Awaiting Assignment,44:34.0
1-428421057,Accepted-In Progress,24:58.0
1-428421057,Accepted-In Progress,10:24.0
1-429498598,Accepted-In Progress,41:40.0
1-429498598,Accepted-In Progress,58:26.0
1-429498598,Accepted-Assigned,41:27.0
1-429498598,Accepted-Wait,57:23.0
1-429498598,Completed-Closed,47:23.0
1-429979181,Accepted-In Progress,06:34.0
1-429979181,Accepted-Assigned,23:27.0
1-429979181,Accepted-In Progress,25:36.0
1-429979181,Accepted-Assigned,53:08.0
1-429979181,Accepted-Wait,55:03.0
1-429979181,Completed-Closed,07:49.0
1-429979181,Accepted-In Progress,52:14.0
1-429979181,Queued-Awaiting Assignment,30:06.0
1-429979181,Accepted-Wait,17:37.0
1-429979181,Accepted-In Progress,22:05.0
1-429979181,Accepted-Assigned,42:33.0
1-429979181,Queued-Awaiting Assignment,49:36.0
1-429979181,Queued-Awaiting Assignment,54:44.0
1-429979181,Accepted-In Progress,23:22.0
1-429979181,Accepted-Assigned,25:47.0
1-430150814,Accepted-Wait,23:27.0
1-430150814,Accepted-Assigned,06:02.0
1-430150814,Completed-Closed,01:22.0
1-430150814,Accepted-Wait,18:05.0
1-430150814,Accepted-In Progress,17:11.0
1-430150814,Accepted-Assigned,15:22.0
1-430150814,Accepted-In Progress,39:07.0
1-430150814,Accepted-In Progress,35:45.0
1-430793848,Accepted-In Progress,28:03.0
1-430793848,Completed-Closed,01:49.0
1-430836105,Accepted-Wait,12:33.0
1-430836105,Completed-Closed,27:49.0
1-430836105,Accepted-In Progress,11:54.0
1-430880486,Completed-Closed,38:04.0
1-430880486,Accepted-In Progress,55:48.0
1-430880486,Accepted-Wait,11:52.0
1-431797119,Accepted-In Progress,58:13.0
1-431797119,Queued-Awaiting Assignment,01:14.0
1-431797119,Accepted-In Progress,01:57.0
1-431797119,Accepted-Assigned,02:11.0
1-431797119,Accepted-In Progress,59:16.0
1-431797119,Completed-Closed,07:31.0
1-432419251,Queued-Awaiting Assignment,22:42.0
1-432419251,Accepted-In Progress,20:20.0
1-432419251,Accepted-In Progress,08:01.0
1-432419251,Accepted-Assigned,22:21.0
1-432419251,Accepted-Assigned,22:22.0
1-432419251,Accepted-In Progress,55:06.0
1-432419251,Completed-Closed,56:15.0
1-432687815,Completed-Closed,35:12.0
1-432687815,Accepted-In Progress,03:38.0
1-432687815,Accepted-Assigned,16:21.0
1-432687815,Accepted-In Progress,09:10.0
1-433161361,Completed-Closed,58:36.0
1-433161361,Accepted-Assigned,57:02.0
1-433161361,Accepted-In Progress,58:34.0
1-433161361,Queued-Awaiting Assignment,26:08.0
1-433161361,Accepted-In Progress,22:24.0
1-433161361,Accepted-In Progress,55:48.0
1-433309965,Accepted-In Progress,07:06.0
1-433309965,Accepted-In Progress,26:24.0
1-433309965,Queued-Awaiting Assignment,06:20.0
1-433309965,Accepted-In Progress,03:00.0
1-433309965,Accepted-In Progress,15:47.0
1-433309965,Accepted-Assigned,28:35.0
1-433309965,Accepted-Wait,08:47.0
1-433309965,Completed-Closed,19:29.0
1-433309965,Accepted-Assigned,39:17.0
1-433309965,Accepted-In Progress,15:14.0
1-433309965,Queued-Awaiting Assignment,09:52.0
1-433309965,Queued-Awaiting Assignment,09:51.0
1-433309965,Queued-Awaiting Assignment,38:51.0
1-433309965,Accepted-Assigned,15:22.0
1-433309965,Accepted-In Progress,04:53.0
1-433710534,Queued-Awaiting Assignment,30:57.0
1-433710534,Accepted-Assigned,58:59.0
1-433710534,Queued-Awaiting Assignment,20:44.0
1-433710534,Accepted-In Progress,49:18.0
1-433710534,Completed-Closed,28:56.0
1-433710534,Queued-Awaiting Assignment,59:29.0
1-433910332,Accepted-Assigned,28:38.0
1-433910332,Accepted-Assigned,04:50.0
1-433910332,Accepted-In Progress,45:05.0
1-433910332,Completed-Closed,45:59.0
1-433910332,Accepted-In Progress,59:20.0
1-433910332,Accepted-Wait,34:29.0
1-433910332,Accepted-In Progress,48:20.0
1-433910332,Accepted-In Progress,28:04.0
1-433910332,Accepted-In Progress,16:21.0
1-433910332,Accepted-Wait,41:42.0
1-433910332,Accepted-Wait,28:11.0
1-434419581,Accepted-In Progress,45:20.0
1-434419581,Queued-Awaiting Assignment,56:11.0
1-434419581,Accepted-In Progress,03:45.0
1-434419581,Accepted-Assigned,06:23.0
1-434419581,Accepted-In Progress,07:59.0
1-434419581,Completed-Closed,12:29.0
1-434892089,Accepted-Wait,32:59.0
1-434892089,Completed-Closed,31:37.0
1-434892089,Accepted-Wait,34:53.0
1-434892089,Accepted-In Progress,32:42.0
1-434892089,Accepted-Wait,18:45.0
1-434892089,Accepted-In Progress,13:54.0
1-435824991,Accepted-In Progress,06:32.0
1-435824991,Queued-Awaiting Assignment,21:19.0
1-435824991,Accepted-In Progress,17:16.0
1-435824991,Accepted-Assigned,20:30.0
1-435824991,Accepted-In Progress,12:42.0
1-435824991,Completed-Closed,17:25.0
1-435825107,Accepted-Assigned,24:39.0
1-435825107,Completed-Closed,22:02.0
1-435825107,Accepted-In Progress,19:29.0
1-435825107,Accepted-In Progress,24:26.0
1-435825107,Accepted-In Progress,24:55.0
1-435825107,Queued-Awaiting Assignment,25:49.0
1-437141508,Accepted-In Progress,01:33.0
1-437141508,Completed-Closed,06:56.0
1-438526021,Accepted-In Progress,59:25.0
1-438526021,Accepted-Wait,20:36.0
1-438526021,Completed-Closed,16:26.0
1-438897551,Accepted-In Progress,01:34.0
1-438897551,Completed-Closed,24:45.0
1-439833168,Completed-Closed,27:57.0
1-439833168,Accepted-In Progress,10:28.0
1-439833168,Accepted-Wait,54:33.0
1-439863114,Accepted-In Progress,39:54.0
1-439863114,Accepted-Wait,27:15.0
1-439863114,Completed-Closed,30:57.0
1-440576028,Accepted-In Progress,12:41.0
1-440576028,Completed-Closed,48:18.0
1-441507371,Accepted-In Progress,35:34.0
1-441507371,Queued-Awaiting Assignment,46:33.0
1-441507371,Accepted-In Progress,02:01.0
1-441507371,Completed-Closed,35:17.0
1-442885842,Queued-Awaiting Assignment,54:48.0
1-442885842,Accepted-In Progress,37:56.0
1-442885842,Accepted-In Progress,53:13.0
1-442885842,Completed-Closed,42:43.0
1-442885842,Accepted-In Progress,02:48.0
1-442885842,Queued-Awaiting Assignment,38:51.0
1-442885842,Accepted-In Progress,42:15.0
1-443175071,Accepted-In Progress,18:05.0
1-443175071,Accepted-Wait,30:18.0
1-443175071,Completed-Closed,18:42.0
1-443637654,Accepted-In Progress,44:13.0
1-443637654,Queued-Awaiting Assignment,49:53.0
1-443637654,Accepted-In Progress,00:03.0
1-443637654,Accepted-Assigned,03:23.0
1-443637654,Accepted-In Progress,52:12.0
1-443637654,Completed-Closed,54:14.0
1-448698916,Accepted-Wait,31:22.0
1-448698916,Completed-Closed,22:49.0
1-448698916,Accepted-In Progress,44:16.0
1-454389870,Accepted-In Progress,57:44.0
1-454389870,Accepted-Assigned,59:59.0
1-454389870,Accepted-In Progress,23:44.0
1-454389870,Accepted-Wait,24:34.0
1-454389870,Completed-Closed,24:46.0
1-454389870,Accepted-In Progress,09:40.0
1-454389870,Accepted-Assigned,37:30.0
1-454389870,Accepted-In Progress,05:09.0
1-454389870,Completed-Closed,05:10.0
1-457173714,Completed-Closed,34:01.0
1-457173714,Accepted-In Progress,36:28.0
1-457173714,Accepted-Wait,31:05.0
1-467257506,Accepted-In Progress,53:06.0
1-467257506,Accepted-Wait,56:41.0
1-467257506,Queued-Awaiting Assignment,44:27.0
1-467257506,Accepted-In Progress,50:48.0
1-467257506,Accepted-Assigned,54:11.0
1-467257506,Accepted-In Progress,12:41.0
1-467257506,Completed-Closed,15:00.0
1-470328307,Completed-Closed,33:44.0
1-470328307,Accepted-In Progress,26:06.0
1-470328307,Accepted-Assigned,33:47.0
1-470328307,Accepted-In Progress,31:33.0
1-470328307,Queued-Awaiting Assignment,21:09.0
1-470328307,Accepted-In Progress,17:44.0
1-470714850,Accepted-In Progress,11:29.0
1-470714850,Queued-Awaiting Assignment,16:19.0
1-470714850,Accepted-In Progress,17:33.0
1-470714850,Accepted-Assigned,20:56.0
1-470714850,Accepted-In Progress,17:39.0
1-470714850,Completed-Closed,19:18.0
1-473084325,Accepted-Assigned,44:01.0
1-473084325,Accepted-Assigned,20:25.0
1-473084325,Queued-Awaiting Assignment,48:22.0
1-473084325,Accepted-In Progress,26:00.0
1-473084325,Accepted-Wait,32:58.0
1-473084325,Queued-Awaiting Assignment,27:06.0
1-473084325,Queued-Awaiting Assignment,16:36.0
1-473084325,Completed-Closed,52:06.0
1-473084325,Queued-Awaiting Assignment,53:00.0
1-473084325,Accepted-In Progress,13:21.0
1-473084325,Accepted-In Progress,27:55.0
1-473084325,Accepted-In Progress,27:44.0
1-473084325,Accepted-Wait,34:33.0
1-473084325,Queued-Awaiting Assignment,55:48.0
1-473084325,Accepted-In Progress,17:45.0
1-473084325,Queued-Awaiting Assignment,33:47.0
1-475885658,Accepted-Assigned,19:47.0
1-475885658,Queued-Awaiting Assignment,38:05.0
1-475885658,Accepted-Assigned,34:25.0
1-475885658,Accepted-In Progress,05:44.0
1-475885658,Completed-Closed,16:30.0
1-475885658,Accepted-In Progress,35:04.0
1-475885658,Queued-Awaiting Assignment,33:12.0
1-475885658,Accepted-In Progress,46:17.0
1-475885658,Accepted-In Progress,32:16.0
1-475885658,Accepted-In Progress,22:51.0
1-475885658,Accepted-In Progress,33:56.0
1-475885658,Queued-Awaiting Assignment,23:12.0
1-475885658,Accepted-Wait,51:51.0
1-475885658,Completed-Closed,03:05.0
1-475885658,Completed-Closed,11:24.0
1-475885658,Queued-Awaiting Assignment,07:23.0
1-475885658,Accepted-Wait,15:14.0
1-475885658,Queued-Awaiting Assignment,48:45.0
1-475885658,Accepted-Wait,42:45.0
1-475885658,Queued-Awaiting Assignment,46:34.0
1-475885658,Accepted-In Progress,06:00.0
1-475885658,Accepted-Wait,34:17.0
1-475885658,Accepted-In Progress,34:05.0
1-475885658,Accepted-In Progress,46:35.0
1-475885658,Queued-Awaiting Assignment,46:52.0
1-475885658,Queued-Awaiting Assignment,01:26.0
1-475885658,Queued-Awaiting Assignment,21:50.0
1-475885658,Accepted-In Progress,46:08.0
1-475885658,Accepted-In Progress,46:37.0
1-479002951,Accepted-In Progress,21:41.0
1-479002951,Accepted-Wait,11:06.0
1-479002951,Completed-Closed,27:21.0
1-489198755,Accepted-In Progress,10:53.0
1-489198755,Accepted-Wait,26:55.0
1-489198755,Completed-Closed,45:26.0
1-494629702,Accepted-In Progress,39:15.0
1-494629702,Accepted-In Progress,09:38.0
1-494629702,Completed-Closed,41:05.0
1-494871141,Accepted-Wait,10:50.0
1-494871141,Completed-Closed,55:27.0
1-494871141,Queued-Awaiting Assignment,09:10.0
1-494871141,Accepted-In Progress,11:43.0
1-494871141,Accepted-In Progress,42:18.0
1-495101458,Accepted-In Progress,22:20.0
1-495101458,Accepted-In Progress,29:33.0
1-495101458,Completed-Closed,29:35.0
1-497807633,Accepted-In Progress,51:55.0
1-497807633,Queued-Awaiting Assignment,05:00.0
1-497807633,Accepted-In Progress,22:59.0
1-497807633,Accepted-Assigned,23:08.0
1-497807633,Accepted-In Progress,45:03.0
1-497807633,Completed-Closed,47:13.0
1-498002861,Accepted-Wait,58:55.0
1-498002861,Completed-Closed,46:11.0
1-498002861,Accepted-In Progress,36:35.0
1-498324124,Accepted-In Progress,40:03.0
1-498324124,Accepted-Assigned,13:53.0
1-498324124,Accepted-Assigned,41:04.0
1-498324124,Accepted-Wait,06:09.0
1-498324124,Accepted-Wait,26:48.0
1-498324124,Accepted-Assigned,55:22.0
1-498324124,Accepted-Wait,10:34.0
1-498324124,Accepted-Wait,31:51.0
1-498324124,Completed-Closed,02:50.0
1-499289128,Accepted-In Progress,51:52.0
1-499289128,Completed-Closed,53:03.0
1-499289128,Accepted-Assigned,31:49.0
1-499289128,Queued-Awaiting Assignment,09:51.0
1-499289128,Accepted-In Progress,03:37.0
1-499289128,Accepted-In Progress,31:26.0
1-499289256,Accepted-In Progress,16:59.0
1-499289256,Queued-Awaiting Assignment,21:17.0
1-499289256,Accepted-In Progress,35:13.0
1-499289256,Accepted-Assigned,35:20.0
1-499289256,Accepted-In Progress,02:57.0
1-499289256,Completed-Closed,03:12.0
1-499540955,Accepted-Assigned,39:05.0
1-499540955,Queued-Awaiting Assignment,21:36.0
1-499540955,Completed-Closed,34:44.0
1-499540955,Accepted-In Progress,31:31.0
1-499540955,Queued-Awaiting Assignment,33:54.0
1-499540955,Accepted-In Progress,38:02.0
1-499540955,Queued-Awaiting Assignment,25:40.0
1-499540955,Accepted-In Progress,21:02.0
1-499540955,Accepted-In Progress,21:55.0
1-499540955,Accepted-Assigned,22:02.0
1-499540955,Accepted-Wait,19:58.0
1-500208339,Queued-Awaiting Assignment,05:37.0
1-500208339,Accepted-In Progress,18:48.0
1-500208339,Accepted-Assigned,20:39.0
1-500208339,Accepted-In Progress,40:11.0
1-500208339,Completed-Closed,48:59.0
1-500208339,Accepted-In Progress,53:37.0
1-500427383,Completed-Closed,31:52.0
1-500427383,Accepted-In Progress,38:30.0
1-500427383,Accepted-Wait,26:32.0
1-501925116,Accepted-In Progress,33:56.0
1-501925116,Accepted-Assigned,25:22.0
1-501925116,Accepted-In Progress,25:11.0
1-501925116,Queued-Awaiting Assignment,32:26.0
1-501925116,Accepted-Wait,40:05.0
1-501925116,Queued-Awaiting Assignment,37:05.0
1-501925116,Accepted-Assigned,38:06.0
1-501925116,Accepted-In Progress,36:21.0
1-501925116,Accepted-Assigned,40:58.0
1-501925116,Accepted-In Progress,37:57.0
1-501925116,Queued-Awaiting Assignment,37:10.0
1-501925116,Accepted-In Progress,59:43.0
1-501925116,Completed-Closed,01:46.0
1-501969547,Accepted-In Progress,10:55.0
1-501969547,Completed-Closed,00:53.0
1-502353485,Accepted-Wait,18:17.0
1-502353485,Completed-Closed,28:01.0
1-502353485,Accepted-In Progress,17:42.0
1-502697671,Accepted-In Progress,35:15.0
1-502697671,Accepted-In Progress,11:47.0
1-502697671,Accepted-Wait,45:33.0
1-502697671,Completed-Closed,46:29.0
1-502769178,Accepted-Wait,14:30.0
1-502769178,Completed-Closed,20:10.0
1-502769178,Accepted-Assigned,58:13.0
1-502769178,Queued-Awaiting Assignment,10:57.0
1-502769178,Accepted-Wait,05:50.0
1-502769178,Accepted-In Progress,52:29.0
1-502769178,Accepted-In Progress,45:04.0
1-504048859,Accepted-In Progress,01:03.0
1-504048859,Accepted-Wait,21:13.0
1-504048859,Accepted-Wait,20:17.0
1-504048859,Completed-Closed,20:18.0
1-504498907,Accepted-In Progress,04:04.0
1-504498907,Completed-Closed,45:32.0
1-505194002,Accepted-In Progress,17:25.0
1-505194002,Completed-Closed,42:55.0
1-505194015,Completed-Closed,43:58.0
1-505194015,Accepted-In Progress,18:00.0
1-505416663,Accepted-In Progress,34:30.0
1-505416663,Queued-Awaiting Assignment,39:32.0
1-505416663,Accepted-In Progress,49:55.0
1-505416663,Accepted-Assigned,50:37.0
1-505416663,Accepted-In Progress,28:01.0
1-505416663,Completed-Closed,29:35.0
1-505443989,Accepted-In Progress,21:48.0
1-505443989,Queued-Awaiting Assignment,25:34.0
1-505443989,Accepted-In Progress,29:49.0
1-505443989,Accepted-Assigned,31:27.0
1-505443989,Accepted-In Progress,07:26.0
1-505443989,Completed-Closed,08:04.0
1-506092586,Completed-Closed,25:15.0
1-506092586,Accepted-In Progress,36:20.0
1-506108491,Accepted-In Progress,38:53.0
1-506108491,Accepted-Wait,18:14.0
1-506108491,Accepted-Assigned,16:51.0
1-506108491,Completed-Closed,15:22.0
1-506236591,Accepted-In Progress,14:33.0
1-506236591,Queued-Awaiting Assignment,38:09.0
1-506236591,Accepted-In Progress,57:59.0
1-506236591,Accepted-Assigned,58:09.0
1-506236591,Accepted-In Progress,57:11.0
1-506236591,Completed-Closed,57:18.0
1-506866218,Completed-Closed,03:29.0
1-506866218,Accepted-Wait,36:06.0
1-506866218,Accepted-In Progress,02:29.0
1-507679771,Accepted-In Progress,04:30.0
1-507679771,Completed-Closed,12:52.0
1-507774379,Accepted-In Progress,32:07.0
1-507774379,Queued-Awaiting Assignment,37:19.0
1-507774379,Accepted-In Progress,41:56.0
1-507774379,Accepted-Assigned,42:27.0
1-507774379,Accepted-In Progress,26:14.0
1-507774379,Completed-Closed,28:26.0
1-508044897,Accepted-Wait,30:00.0
1-508044897,Accepted-In Progress,15:00.0
1-508044897,Completed-Closed,12:23.0
1-508044897,Queued-Awaiting Assignment,39:36.0
1-508044897,Queued-Awaiting Assignment,20:41.0
1-508044897,Queued-Awaiting Assignment,20:08.0
1-508044897,Accepted-In Progress,45:17.0
1-508044897,Accepted-In Progress,28:23.0
1-508462323,Accepted-In Progress,59:36.0
1-508462323,Completed-Closed,19:29.0
1-508825032,Accepted-In Progress,50:57.0
1-508825032,Completed-Closed,47:22.0
1-509892697,Completed-Closed,30:27.0
1-509892697,Accepted-In Progress,42:24.0
1-509892697,Accepted-Wait,13:29.0
1-509912273,Accepted-In Progress,11:24.0
1-509912273,Queued-Awaiting Assignment,41:02.0
1-509912273,Accepted-In Progress,30:06.0
1-509912273,Accepted-Assigned,30:35.0
1-509912273,Accepted-In Progress,53:21.0
1-509912273,Completed-Closed,53:23.0
1-509915742,Accepted-In Progress,00:18.0
1-509915742,Completed-Closed,29:22.0
1-510142147,Accepted-In Progress,45:06.0
1-510142147,Accepted-Assigned,44:48.0
1-510142147,Completed-Closed,45:09.0
1-510142147,Accepted-In Progress,28:34.0
1-510142147,Accepted-In Progress,03:32.0
1-510142147,Accepted-Assigned,39:42.0
1-510399424,Completed-Closed,41:23.0
1-510399424,Accepted-In Progress,21:36.0
1-510423612,Accepted-In Progress,59:02.0
1-510423612,Accepted-In Progress,35:07.0
1-510423612,Completed-Closed,35:09.0
1-511755003,Accepted-In Progress,47:33.0
1-511755003,Accepted-Wait,48:29.0
1-511755003,Accepted-In Progress,11:52.0
1-511755003,Completed-Closed,13:25.0
1-511787661,Completed-Closed,19:44.0
1-511787661,Accepted-Assigned,36:46.0
1-511787661,Accepted-In Progress,18:11.0
1-511787661,Queued-Awaiting Assignment,52:58.0
1-511787661,Accepted-In Progress,51:15.0
1-511787661,Accepted-In Progress,35:19.0
1-512617571,Accepted-In Progress,48:35.0
1-512617571,Accepted-Assigned,49:23.0
1-512617571,Accepted-Assigned,05:34.0
1-512617571,Accepted-In Progress,27:15.0
1-512617571,Accepted-Wait,29:18.0
1-512617571,Completed-Closed,12:58.0
1-512654811,Queued-Awaiting Assignment,57:11.0
1-512654811,Accepted-In Progress,44:35.0
1-512654811,Accepted-In Progress,41:59.0
1-512654811,Completed-Closed,46:08.0
1-513031774,Completed-Closed,47:40.0
1-513031774,Accepted-In Progress,39:04.0
1-513032417,Accepted-In Progress,51:29.0
1-513032417,Queued-Awaiting Assignment,57:11.0
1-513032417,Accepted-In Progress,55:16.0
1-513032417,Accepted-Assigned,56:25.0
1-513032417,Accepted-In Progress,34:32.0
1-513032417,Completed-Closed,35:30.0
1-513135755,Completed-Closed,50:05.0
1-513135755,Accepted-Assigned,47:27.0
1-513135755,Accepted-In Progress,47:07.0
1-513135755,Queued-Awaiting Assignment,41:43.0
1-513135755,Accepted-In Progress,38:03.0
1-513135755,Accepted-In Progress,44:05.0
1-513180623,Accepted-In Progress,43:11.0
1-513180623,Queued-Awaiting Assignment,49:28.0
1-513180623,Accepted-In Progress,59:39.0
1-513180623,Accepted-Assigned,01:29.0
1-513180623,Accepted-In Progress,01:19.0
1-513180623,Completed-Closed,21:57.0
1-513395204,Accepted-In Progress,14:09.0
1-513395204,Completed-Closed,14:22.0
1-513395204,Accepted-In Progress,54:14.0
1-513767190,Completed-Closed,28:32.0
1-513767190,Accepted-In Progress,15:49.0
1-513767190,Accepted-Assigned,13:09.0
1-513864515,Accepted-Wait,46:59.0
1-513864515,Completed-Closed,51:52.0
1-513864515,Accepted-In Progress,21:18.0
1-513864515,Accepted-In Progress,31:54.0
1-513910403,Accepted-In Progress,53:40.0
1-513910403,Accepted-In Progress,55:47.0
1-513910403,Completed-Closed,57:36.0
1-514223574,Accepted-In Progress,21:34.0
1-514223574,Accepted-In Progress,36:13.0
1-514223574,Completed-Closed,36:15.0
1-514311011,Accepted-In Progress,10:06.0
1-514311011,Accepted-In Progress,15:41.0
1-514311011,Completed-Closed,15:43.0
1-514618724,Completed-Closed,31:26.0
1-514618724,Accepted-In Progress,22:27.0
1-514618724,Accepted-In Progress,57:43.0
1-514618724,Accepted-Wait,18:36.0
1-514712116,Accepted-In Progress,23:18.0
1-514712116,Accepted-In Progress,16:44.0
1-514712116,Completed-Closed,16:46.0
1-514832700,Accepted-In Progress,37:57.0
1-514832700,Accepted-Assigned,12:38.0
1-514832700,Accepted-In Progress,37:55.0
1-514832700,Completed-Closed,37:59.0
1-515461174,Accepted-In Progress,56:28.0
1-515461174,Accepted-Assigned,21:26.0
1-515461174,Accepted-Wait,09:00.0
1-515461174,Completed-Closed,27:45.0
1-515617964,Completed-Closed,01:31.0
1-515617964,Accepted-In Progress,58:47.0
1-515617964,Accepted-In Progress,53:58.0
1-515617964,Queued-Awaiting Assignment,44:52.0
1-515834995,Accepted-In Progress,16:58.0
1-515834995,Accepted-Assigned,17:17.0
1-515834995,Accepted-In Progress,11:15.0
1-515834995,Accepted-Wait,11:32.0
1-515834995,Accepted-In Progress,19:41.0
1-515834995,Accepted-In Progress,53:10.0
1-515834995,Accepted-Wait,59:32.0
1-515834995,Accepted-Assigned,41:45.0
1-515834995,Accepted-In Progress,43:00.0
1-515834995,Accepted-Wait,43:10.0
1-515834995,Completed-Closed,03:18.0
1-515873671,Completed-Closed,01:47.0
1-515873671,Accepted-In Progress,01:45.0
1-515873671,Queued-Awaiting Assignment,04:38.0
1-515873671,Accepted-In Progress,24:13.0
1-515873671,Queued-Awaiting Assignment,24:29.0
1-515873671,Accepted-In Progress,42:08.0
1-516141293,Accepted-Assigned,15:33.0
1-516141293,Queued-Awaiting Assignment,01:51.0
1-516141293,Accepted-In Progress,40:13.0
1-516141293,Accepted-In Progress,12:14.0
1-516141293,Completed-Closed,47:56.0
1-516141293,Accepted-Assigned,21:35.0
1-516141293,Accepted-In Progress,45:10.0
1-516141293,Accepted-In Progress,55:50.0
1-516141293,Accepted-In Progress,55:39.0
1-516141293,Accepted-In Progress,43:12.0
1-516141293,Queued-Awaiting Assignment,10:31.0
1-516141293,Queued-Awaiting Assignment,44:49.0
1-516141293,Queued-Awaiting Assignment,43:11.0
1-516141293,Accepted-In Progress,08:38.0
1-516860557,Accepted-In Progress,59:47.0
1-516860557,Accepted-In Progress,31:53.0
1-516860557,Completed-Closed,31:54.0
1-517002080,Completed-Closed,07:11.0
1-517002080,Accepted-Assigned,10:49.0
1-517002080,Accepted-In Progress,06:42.0
1-517002080,Queued-Awaiting Assignment,38:58.0
1-517002080,Accepted-In Progress,36:04.0
1-517002080,Accepted-In Progress,10:44.0
1-517045062,Accepted-In Progress,22:45.0
1-517045062,Queued-Awaiting Assignment,25:33.0
1-517045062,Accepted-In Progress,12:55.0
1-517045062,Accepted-Assigned,13:02.0
1-517045062,Accepted-In Progress,50:24.0
1-517045062,Completed-Closed,52:53.0
1-517399487,Accepted-In Progress,54:11.0
1-517399487,Queued-Awaiting Assignment,41:10.0
1-517399487,Accepted-In Progress,44:42.0
1-517399487,Accepted-Assigned,22:22.0
1-517399487,Queued-Awaiting Assignment,42:18.0
1-517399487,Accepted-Wait,29:01.0
1-517399487,Accepted-Assigned,43:59.0
1-517399487,Accepted-Assigned,42:25.0
1-517399487,Accepted-In Progress,31:45.0
1-517399487,Queued-Awaiting Assignment,40:38.0
1-517399487,Accepted-Assigned,44:49.0
1-517399487,Accepted-In Progress,22:16.0
